address;city;floor;id;latitude;longitude;price;rooms;sq;year
Praga-Po³udnie;Warszawa;9.0;16147.0;522.373.961;210.712.578;699000.0;2.0;55.2;2012.0
Œródmieœcie ul. Grzybowska;Warszawa;6.0;17600.0;52.235.745.800.000.000;20.993.720.703.559.500;430000.0;2.0;28.0;1980.0
W³ochy;Warszawa;4.0;11572.0;521.861.093;209.484.377;550000.0;3.0;49.0;1971.0
Je¿yce;Poznañ;1.0;1203.0;52.413.045;169.022.122;289000.0;2.0;37.56;1949.0
Bia³o³êka K¹ty Grodziskie;Warszawa;1.0;10910.0;523.246.245;210.547.602;393000.0;3.0;53.0;2021.0
Podgórze ul. Koszykarska;Kraków;2.0;22169.0;500.498.929;199.906.026;543558.0;3.0;53.0;2021.0
Praga-Po³udnie Goc³aw ul. gen. Tadeusza Bora-Komorowskiego;Warszawa;1.0;6918.0;522.319.581;210.067.249;630000.0;2.0;43.89;2020.0
Nowe Miasto Rataje os. Piastowskie;Poznañ;10.0;804.0;523.958.333;172.202.778;348900.0;2.0;48.4;1977.0
Nowe Miasto Komandoria;Poznañ;0.0;1788.0;524.122.222;169.694.444;499000.0;2.0;60.0;2000.0
Wilda Przemys³owa;Poznañ;1.0;250.0;52.392.868;169.194.578;385000.0;2.0;59.1;1920.0
Bie¿anów-Prokocim Z³ocieñ;Kraków;4.0;21395.0;500.225.216;200.481.276;290829.0;2.0;37.77;2021.0
Nowa Huta Okulickiego;Kraków;1.0;21713.0;50.087.129;199.950.474;580000.0;3.0;62.0;2014.0
Mokotów;Warszawa;7.0;12413.0;521.939.874;210.457.809;916860.0;3.0;65.0;2018.0
Bia³o³êka;Warszawa;2.0;11586.0;523.196.649;210.211.773;659000.0;4.0;75.3;2017.0
Stare Miasto Miodowa;Kraków;3.0;25196.0;5.005.278;199.447.455;985000.0;3.0;53.0;1920.0
ma³opolskie;Kraków;3.0;18338.0;500.619.474;199.368.564;429000.0;2.0;46.69;2021.0
Bie¿anów-Prokocim Bie¿anów;Kraków;4.0;26721.0;500.128.958;200.258.584;372154.0;3.0;50.98;2021.0
Podgórze Duchackie Wola Duchacka;Kraków;5.0;22257.0;500.146.222;19.953.758;546910.0;3.0;60.1;2021.0
Bronowice Stañczyka;Kraków;1.0;29033.0;500.788.285;198.942.504;302111.2;1.0;29.33;2021.0
Wilanów Sarmacka;Warszawa;1.0;6291.0;521.656.517;210.767.961;1250000.0;3.0;94.83;2007.0
Mistrzejowice;Kraków;1.0;27576.0;5.009.742.625;2.000.960.263.225.890;502374.0;4.0;66.12;2020.0
Ursynów;Warszawa;2.0;6443.0;52.141.039;210.323.214;875000.0;3.0;72.0;2001.0
¯oliborz Rydygiera;Warszawa;1.0;11601.0;522.590.164;209.919.642;518100.0;1.0;31.4;2020.0
Mokotów Sielce Aleksandra Gierymskiego;Warszawa;1.0;8348.0;521.988.937;210.358.363;350000.0;2.0;33.18;1980.0
Pr¹dnik Bia³y Henryka Pachoñskiego;Kraków;5.0;20534.0;500.949.773;19.920.405.494.289.900;418362.0;3.0;46.94;2021.0
Nowe Miasto Malta ul. Katowicka;Poznañ;3.0;5820.0;523.973.449;169.619.394;326705.0;2.0;34.39;2022.0
Ursynów Wyczó³ki ul. K³obucka;Warszawa;3.0;6270.0;521.599.734;20.990.916.185.264.200;840000.0;3.0;66.0;2018.0
Ursus;Warszawa;2.0;13586.0;521.960.985;208.828.989;799990.0;3.0;77.75;2007.0
Nowe Miasto Malta ul. Katowicka;Poznañ;4.0;5079.0;523.973.449;169.619.394;308750.0;2.0;32.5;2022.0
Grunwald ul. Artura Grottgera;Poznañ;1.0;4000.0;524.013.241;168.972.699;499999.0;2.0;63.0;1935.0
Pr¹dnik Czerwony;Kraków;2.0;21409.0;50.085.941.899.999.900;1.996.660.060.819.070;510000.0;3.0;52.83;1980.0
Bielany;Warszawa;10.0;16061.0;522.776.126;209.472.054;539000.0;3.0;51.0;1972.0
Bia³o³êka ul. Miko³aja Tr¹by;Warszawa;1.0;8399.0;522.319.581;210.067.249;401000.0;2.0;48.0;2020.0
£agiewniki-Borek Fa³êcki Zakopiañska;Kraków;1.0;28507.0;500.230.861;199.337.391;619000.0;4.0;88.3;1911.0
Dêbniki Ruczaj Chmieleniec;Kraków;1.0;29709.0;500.204.807;198.980.137;529900.0;2.0;54.0;2007.0
Praga-Po³udnie Goc³aw;Warszawa;9.0;16684.0;522.286.331;211.065.722;565000.0;3.0;65.0;1980.0
Je¿yce Podolany;Poznañ;3.0;632.0;52.456.781;16.887.939;289000.0;2.0;29.17;2020.0
Wola;Warszawa;6.0;16651.0;522.362.379;209.547.815;1930000.0;5.0;120.0;2020.0
Pr¹dnik Bia³y Józefa Che³moñskiego;Kraków;1.0;25490.0;500.863.097;199.139.884;440000.0;2.0;48.4;2008.0
Bie¿anów-Prokocim;Kraków;0.0;28245.0;5.001.706.235;20.022.991.856.015.300;498312.0;4.0;61.52;2021.0
Wilanów Piechoty £anowej;Warszawa;1.0;9761.0;521.728.323;210.851.058;4150000.0;6.0;257.92;2020.0
Wola Czyste;Warszawa;1.0;12591.0;522.200.627;209.652.859;1169000.0;4.0;69.28;2018.0
Pr¹dnik Czerwony Reduta;Kraków;3.0;18405.0;501.609.054;19.743.089.127.291.600;680000.0;3.0;61.01;2017.0
Mistrzejowice ul. Piasta Ko³odzieja;Kraków;6.0;28349.0;500.986.433;200.132.206;756284.0;4.0;87.94;2020.0
